exposure	outcome	estimate	ci_lo	ci_hi	units	method	direction	source	doi	url	retrieved	notes
SBP	HBW	0.7569	0.6934	0.8261	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 506 SNPs; p=4.41e-10. Mirror image of LBW - supports a growth-restriction mechanism. NOT a MOMI outcome (dropped 2026-07-20, too few events).
DBP	HBW	0.8148	0.7074	0.9385	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 464 SNPs; p=4.50e-03. NOT a MOMI outcome.
SBP	LGA	0.8687	0.8019	0.9410	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 456 SNPs; p=5.57e-04. Mirror image of SGA. NOT a MOMI outcome.
DBP	LGA	0.8744	0.7701	0.9929	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 405 SNPs; p=3.85e-02. NOT a MOMI outcome.
SBP	POSTTERM	0.9404	0.8971	0.9859	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 502 SNPs; p=1.08e-02. Mirror image of PTB. NOT a MOMI outcome (dropped 2026-07-20).
DBP	POSTTERM	0.9104	0.8419	0.9845	OR per 10 mmHg	IVW two-sample MR	higher BP decreases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 460 SNPs; p=1.88e-02. NOT a MOMI outcome.
SBP	STILL	1.0014	0.9281	1.0805	OR per 10 mmHg	IVW two-sample MR	null	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 510 SNPs; p=9.71e-01. Explicit null - useful negative comparator. NOT a MOMI outcome.
DBP	STILL	1.0120	0.8944	1.1450	OR per 10 mmHg	IVW two-sample MR	null	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 470 SNPs; p=8.50e-01. Explicit null. NOT a MOMI outcome.
SBP	MISC	0.9998	0.9753	1.0249	OR per 10 mmHg	IVW two-sample MR	null	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 502 SNPs; p=9.90e-01. Explicit null. NOT a MOMI outcome.
DBP	MISC	1.0286	0.9874	1.0715	OR per 10 mmHg	IVW two-sample MR	null	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 460 SNPs; p=1.77e-01. Explicit null. NOT a MOMI outcome.
SBP	NICU	1.1061	1.0204	1.1989	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 442 SNPs; p=1.42e-02. NOT a MOMI outcome.
DBP	NICU	1.1024	0.9647	1.2598	OR per 10 mmHg	IVW two-sample MR	null (CI crosses 1)	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 397 SNPs; p=1.52e-01. NOT a MOMI outcome.
SBP	GDM	1.1087	1.0543	1.1659	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 491 SNPs; p=5.79e-05. NOT a MOMI outcome.
DBP	GDM	1.0681	0.9780	1.1666	OR per 10 mmHg	IVW two-sample MR	null (CI crosses 1)	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 443 SNPs; p=1.43e-01. NOT a MOMI outcome.
